subject,lineup_id,order,a,b,n,x_dist,rep
51,241,16,1,16,100,normal,3
52,102,16,1,4,300,normal,3
53,493,4,1,1,100,lognormal,2
54,173,20,1,16,100,lognormal,3
55,416,18,0,16,100,even_discrete,2
56,96,15,1,1,300,lognormal,2
57,360,20,1,1,50,uniform,3
58,355,1,0,16,50,normal,2
59,319,7,-1,4,100,normal,2
60,126,4,0,0.25,100,uniform,3
61,333,15,0,16,100,uniform,1
62,307,3,1,64,50,lognormal,2
63,511,16,0,4,300,lognormal,2
64,554,4,-1,1,300,lognormal,2
65,174,13,1,16,300,lognormal,1
66,426,11,-1,16,100,lognormal,3
67,379,16,0,4,50,uniform,2
68,526,2,0,0,300,lognormal,2
69,136,8,0,0.25,100,even_discrete,2
70,31,6,-1,16,300,lognormal,2
71,534,3,0,0.25,300,normal,2
72,332,7,1,16,50,normal,3
73,147,11,0,0,300,uniform,2
74,348,11,-1,64,50,normal,1
75,170,18,0,0,300,normal,2
76,339,12,-1,16,50,uniform,1
77,274,13,-1,64,100,even_discrete,3
78,438,8,1,4,100,even_discrete,1
79,468,12,1,0.25,100,lognormal,3
